DISTRICT,ST_NM,date,mean
Koraput,Odisha,2014-01-01T00:00:00,0.194382707764365
Malkangiri,Odisha,2014-01-01T00:00:00,0.069964161108837
Mayurbhanj,Odisha,2014-01-01T00:00:00,0.281979317095611
Nabarangapur,Odisha,2014-01-01T00:00:00,0.057576111197085
Nayagarh,Odisha,2014-01-01T00:00:00,0.187699264537873
Nuapada,Odisha,2014-01-01T00:00:00,0.123136516457165
Puri,Odisha,2014-01-01T00:00:00,0.531624483922188
Rayagada,Odisha,2014-01-01T00:00:00,0.103920009827914
Sambalpur,Odisha,2014-01-01T00:00:00,0.487565475790763
Subarnapur,Odisha,2014-01-01T00:00:00,0.324693975688327
Sundargarh,Odisha,2014-01-01T00:00:00,0.487831956212276
Anugul,Odisha,2014-01-01T00:00:00,0.910576453061134
Balangir,Odisha,2014-01-01T00:00:00,0.350102510017952
Baleshwar,Odisha,2014-01-01T00:00:00,0.672130528377718
Bargarh,Odisha,2014-01-01T00:00:00,0.340780552919606
Bauda,Odisha,2014-01-01T00:00:00,0.090688717243714
Bhadrak,Odisha,2014-01-01T00:00:00,0.565267598980026
Cuttack,Odisha,2014-01-01T00:00:00,1.18064615393
Debagarh,Odisha,2014-01-01T00:00:00,0.094376337737988
Dhenkanal,Odisha,2014-01-01T00:00:00,0.724270413179237
Gajapati,Odisha,2014-01-01T00:00:00,0.080621751519904
Ganjam,Odisha,2014-01-01T00:00:00,0.331842111524294
Jagatsinghapur,Odisha,2014-01-01T00:00:00,1.2508513685612
Jajapur,Odisha,2014-01-01T00:00:00,1.90354405199459
Jharsuguda,Odisha,2014-01-01T00:00:00,1.39169871859404
Kapurthala,Punjab,2014-01-01T00:00:00,1.15552494331283
Ludhiana,Punjab,2014-01-01T00:00:00,2.2054005686715
Mansa,Punjab,2014-01-01T00:00:00,0.865492200164839
Moga,Punjab,2014-01-01T00:00:00,1.03087936114339
Muktsar,Punjab,2014-01-01T00:00:00,1.15463339986669
Patiala,Punjab,2014-01-01T00:00:00,1.42250232161705
Rupnagar,Punjab,2014-01-01T00:00:00,1.01883109538003
Sahibzada Ajit Singh Nagar,Punjab,2014-01-01T00:00:00,3.28210985015208
Sangrur,Punjab,2014-01-01T00:00:00,0.994237515404894
Shahid Bhagat Singh Nagar,Punjab,2014-01-01T00:00:00,0.715107730743224
Tarn Taran,Punjab,2014-01-01T00:00:00,1.93722981910266
Amritsar,Punjab,2014-01-01T00:00:00,2.6878542857117
Barnala,Punjab,2014-01-01T00:00:00,1.01247739553738
Bathinda,Punjab,2014-01-01T00:00:00,1.94333254322695
Faridkot,Punjab,2014-01-01T00:00:00,0.945106156345214
Fatehgarh Sahib,Punjab,2014-01-01T00:00:00,1.23368939349703
Firozpur,Punjab,2014-01-01T00:00:00,1.12017887788253
Gurdaspur,Punjab,2014-01-01T00:00:00,1.32132998112579
Hoshiarpur,Punjab,2014-01-01T00:00:00,0.62573773201328
Jalandhar,Punjab,2014-01-01T00:00:00,1.99773197615208
North,Sikkim,2014-01-01T00:00:00,0.083814817913291
South,Sikkim,2014-01-01T00:00:00,0.471650956169418
West,Sikkim,2014-01-01T00:00:00,0.196008483471944
East,Sikkim,2014-01-01T00:00:00,0.457236052223534
Kachchh,Gujarat,2014-01-01T00:00:00,0.295645134654658
Kheda,Gujarat,2014-01-01T00:00:00,0.77881971243677
Mahesana,Gujarat,2014-01-01T00:00:00,0.935827764618638
Narmada,Gujarat,2014-01-01T00:00:00,0.205339558192264
Navsari,Gujarat,2014-01-01T00:00:00,0.603908919886825
Panch Mahals,Gujarat,2014-01-01T00:00:00,0.544063310170048
Patan,Gujarat,2014-01-01T00:00:00,0.320478922124222
Porbandar,Gujarat,2014-01-01T00:00:00,0.477147660942509
Rajkot,Gujarat,2014-01-01T00:00:00,0.816280789636909
Sabar Kantha,Gujarat,2014-01-01T00:00:00,0.431087704067337
Surat,Gujarat,2014-01-01T00:00:00,2.57449181658351
Surendranagar,Gujarat,2014-01-01T00:00:00,0.408765750492205
The Dangs,Gujarat,2014-01-01T00:00:00,0.043220389934395
Vadodara,Gujarat,2014-01-01T00:00:00,1.2342989328092
Valsad,Gujarat,2014-01-01T00:00:00,0.833347429894049
Tapi,Gujarat,2014-01-01T00:00:00,0.344994175748667
Ahmadabad,Gujarat,2014-01-01T00:00:00,1.59956912418228
Amreli,Gujarat,2014-01-01T00:00:00,0.494655885147878
Anand,Gujarat,2014-01-01T00:00:00,0.953819680110328
Banas Kantha,Gujarat,2014-01-01T00:00:00,0.441409415158073
Bharuch,Gujarat,2014-01-01T00:00:00,2.20152380170724
Bhavnagar,Gujarat,2014-01-01T00:00:00,0.640976984610862
Dohad,Gujarat,2014-01-01T00:00:00,0.429380728716586
Gandhinagar,Gujarat,2014-01-01T00:00:00,2.20283447693165
Jamnagar,Gujarat,2014-01-01T00:00:00,1.14394076335788
Junagadh,Gujarat,2014-01-01T00:00:00,0.589714700793958
Kaithal,Haryana,2014-01-01T00:00:00,1.4265400146371
Karnal,Haryana,2014-01-01T00:00:00,2.00694484969414
Kurukshetra,Haryana,2014-01-01T00:00:00,1.91399428628915
Mahendragarh,Haryana,2014-01-01T00:00:00,1.24146599017294
Mewat,Haryana,2014-01-01T00:00:00,1.19522945878751
Palwal,Haryana,2014-01-01T00:00:00,1.74498911864851
Panchkula,Haryana,2014-01-01T00:00:00,1.94558192704389
Panipat,Haryana,2014-01-01T00:00:00,3.83390408983843
Rewari,Haryana,2014-01-01T00:00:00,1.90242850917843
Rohtak,Haryana,2014-01-01T00:00:00,1.67516187158668
Sirsa,Haryana,2014-01-01T00:00:00,1.18862782480026
Sonipat,Haryana,2014-01-01T00:00:00,2.03407970677019
Yamunanagar,Haryana,2014-01-01T00:00:00,1.37195137347252
Jind,Haryana,2014-01-01T00:00:00,1.27908811425017
Ambala,Haryana,2014-01-01T00:00:00,2.18085900481196
Bhiwani,Haryana,2014-01-01T00:00:00,0.939533065385284
Faridabad,Haryana,2014-01-01T00:00:00,6.73742333146472
Fatehabad,Haryana,2014-01-01T00:00:00,1.12853881880843
Gurgaon,Haryana,2014-01-01T00:00:00,5.94101432686195
Hisar,Haryana,2014-01-01T00:00:00,0.989664081958224
Jhajjar,Haryana,2014-01-01T00:00:00,1.66355162012901
Senapati,Manipur,2014-01-01T00:00:00,0.10316398257283
Tamenglong,Manipur,2014-01-01T00:00:00,0.083984392956814
Thoubal,Manipur,2014-01-01T00:00:00,0.372386238686642
Ukhrul,Manipur,2014-01-01T00:00:00,0.022360824428932
Bishnupur,Manipur,2014-01-01T00:00:00,0.520481442820654
Chandel,Manipur,2014-01-01T00:00:00,0.038561143503311
Churachandpur,Manipur,2014-01-01T00:00:00,0.028051329894301
Imphal East,Manipur,2014-01-01T00:00:00,0.890975181350342
Imphal West,Manipur,2014-01-01T00:00:00,0.280988213992776
Kolasib,Mizoram,2014-01-01T00:00:00,0.116234195219893
Lawangtlai,Mizoram,2014-01-01T00:00:00,0.005542532919152
Lunglei,Mizoram,2014-01-01T00:00:00,0.013552045948682
Mamit,Mizoram,2014-01-01T00:00:00,0.02702703960095
Saiha,Mizoram,2014-01-01T00:00:00,0.023413554181375
Serchhip,Mizoram,2014-01-01T00:00:00,0.030400622927796
Aizawl,Mizoram,2014-01-01T00:00:00,0.11128203440383
Champhai,Mizoram,2014-01-01T00:00:00,0.013113021115858
North Tripura,Tripura,2014-01-01T00:00:00,0.418458893647532
South Tripura,Tripura,2014-01-01T00:00:00,0.533886245651661
West Tripura,Tripura,2014-01-01T00:00:00,1.30256238052308
Dhalai,Tripura,2014-01-01T00:00:00,0.254108957547214
Kiphire,Nagaland,2014-01-01T00:00:00,0.095361345066512
Kohima,Nagaland,2014-01-01T00:00:00,0.2600323339283
Longleng,Nagaland,2014-01-01T00:00:00,0.189634240462286
Mokokchung,Nagaland,2014-01-01T00:00:00,0.232233374738935
Mon,Nagaland,2014-01-01T00:00:00,0.125401825551316
Peren,Nagaland,2014-01-01T00:00:00,0.091770355311328
Phek,Nagaland,2014-01-01T00:00:00,0.099733282151303
Tuensang,Nagaland,2014-01-01T00:00:00,0.075384353365527
Wokha,Nagaland,2014-01-01T00:00:00,0.157039352577778
Zunheboto,Nagaland,2014-01-01T00:00:00,0.187254928274463
Dimapur,Nagaland,2014-01-01T00:00:00,1.25893976697822
Khunti,Jharkhand,2014-01-01T00:00:00,0.122845440599359
Kodarma,Jharkhand,2014-01-01T00:00:00,0.5858225298256
Latehar,Jharkhand,2014-01-01T00:00:00,0.145301566064298
Lohardaga,Jharkhand,2014-01-01T00:00:00,0.287086789402161
Pakur,Jharkhand,2014-01-01T00:00:00,0.349884039561274
Palamu,Jharkhand,2014-01-01T00:00:00,0.28074447824823
Pashchimi Singhbhum,Jharkhand,2014-01-01T00:00:00,0.281289524815838
Purbi Singhbhum,Jharkhand,2014-01-01T00:00:00,1.55135829087614
Ramgarh,Jharkhand,2014-01-01T00:00:00,2.09799147536469
Ranchi,Jharkhand,2014-01-01T00:00:00,1.15389002470993
Sahibganj,Jharkhand,2014-01-01T00:00:00,0.288693127876137
Saraikela-kharsawan,Jharkhand,2014-01-01T00:00:00,0.916931995800179
Simdega,Jharkhand,2014-01-01T00:00:00,0.044958436635921
Bokaro,Jharkhand,2014-01-01T00:00:00,1.9021427745651
Chatra,Jharkhand,2014-01-01T00:00:00,0.134527517550999
Deoghar,Jharkhand,2014-01-01T00:00:00,0.803662286717543
Dhanbad,Jharkhand,2014-01-01T00:00:00,3.49397253426683
Dumka,Jharkhand,2014-01-01T00:00:00,0.248661495795076
Garhwa,Jharkhand,2014-01-01T00:00:00,0.119047507476364
Giridih,Jharkhand,2014-01-01T00:00:00,0.428725489115191
Godda,Jharkhand,2014-01-01T00:00:00,0.345626685228916
Gumla,Jharkhand,2014-01-01T00:00:00,0.089279705357275
Hazaribagh,Jharkhand,2014-01-01T00:00:00,0.751402450326348
Jamtara,Jharkhand,2014-01-01T00:00:00,0.443713182461862
Kodagu,Karnataka,2014-01-01T00:00:00,0.08561028782223
Kolar,Karnataka,2014-01-01T00:00:00,1.05240078695525
Koppal,Karnataka,2014-01-01T00:00:00,0.515717488038839
Mandya,Karnataka,2014-01-01T00:00:00,0.742195199134201
Mysore,Karnataka,2014-01-01T00:00:00,1.23271932619633
Raichur,Karnataka,2014-01-01T00:00:00,0.567480394315047
Ramanagara,Karnataka,2014-01-01T00:00:00,0.998840231185835
Shimoga,Karnataka,2014-01-01T00:00:00,0.282289726122035
Tumkur,Karnataka,2014-01-01T00:00:00,0.501910817813801
Udupi,Karnataka,2014-01-01T00:00:00,0.276186208368888
Uttara Kannada,Karnataka,2014-01-01T00:00:00,0.110371868637065
Yadgir,Karnataka,2014-01-01T00:00:00,0.490502250690133
Bagalkot,Karnataka,2014-01-01T00:00:00,0.466734041627327
Bangalore Rural,Karnataka,2014-01-01T00:00:00,2.0185734037187
Bangalore,Karnataka,2014-01-01T00:00:00,19.1910718108474
Belgaum,Karnataka,2014-01-01T00:00:00,0.466094417992205
Bellary,Karnataka,2014-01-01T00:00:00,0.944600274685959
Bidar,Karnataka,2014-01-01T00:00:00,0.595009491609019
Bijapur,Karnataka,2014-01-01T00:00:00,0.264545573595092
Chamrajnagar,Karnataka,2014-01-01T00:00:00,0.403072271693866
Chikkaballapura,Karnataka,2014-01-01T00:00:00,0.598912975247991
Chikmagalur,Karnataka,2014-01-01T00:00:00,0.204826843731237
Chitradurga,Karnataka,2014-01-01T00:00:00,0.407421426729024
Dakshina Kannada,Karnataka,2014-01-01T00:00:00,0.704468067131028
Davanagere,Karnataka,2014-01-01T00:00:00,0.504919529261985
Dharwad,Karnataka,2014-01-01T00:00:00,0.657925308300023
Gadag,Karnataka,2014-01-01T00:00:00,0.277623761263169
Gulbarga,Karnataka,2014-01-01T00:00:00,0.616583072619443
Hassan,Karnataka,2014-01-01T00:00:00,0.544028572698434
Haveri,Karnataka,2014-01-01T00:00:00,0.502968572828708
Ri Bhoi,Meghalaya,2014-01-01T00:00:00,0.292343180559651
South Garo Hills,Meghalaya,2014-01-01T00:00:00,0.134215424761351
West Garo Hills,Meghalaya,2014-01-01T00:00:00,0.185364464800532
West Khasi Hills,Meghalaya,2014-01-01T00:00:00,0.089389508426188
East Garo Hills,Meghalaya,2014-01-01T00:00:00,0.135921624568227
East Khasi Hills,Meghalaya,2014-01-01T00:00:00,0.447800379040985
Jaintia Hills,Meghalaya,2014-01-01T00:00:00,0.232414020653518
Kota,Rajasthan,2014-01-01T00:00:00,1.30624836293361
Nagaur,Rajasthan,2014-01-01T00:00:00,0.524722538588455
Pali,Rajasthan,2014-01-01T00:00:00,0.344638123915957
Pratapgarh,Rajasthan,2014-01-01T00:00:00,0.280562781976421
Rajsamand,Rajasthan,2014-01-01T00:00:00,0.677132664644984
Sikar,Rajasthan,2014-01-01T00:00:00,0.867783626441396
Sirohi,Rajasthan,2014-01-01T00:00:00,0.381520425111612
Tonk,Rajasthan,2014-01-01T00:00:00,0.36174967534298
Udaipur,Rajasthan,2014-01-01T00:00:00,0.468377855212161
Dausa,Rajasthan,2014-01-01T00:00:00,1.42338206645506
Karauli,Rajasthan,2014-01-01T00:00:00,0.792079433780781
Sawai Madhopur,Rajasthan,2014-01-01T00:00:00,0.67267123124764
Ajmer,Rajasthan,2014-01-01T00:00:00,0.713190743725346
Alwar,Rajasthan,2014-01-01T00:00:00,1.33359609772137
Banswara,Rajasthan,2014-01-01T00:00:00,0.412428454750298
Baran,Rajasthan,2014-01-01T00:00:00,0.696416750001089
Barmer,Rajasthan,2014-01-01T00:00:00,0.282363841374486
